Sample_ID	Company	Page	Sentence	Real ESG Claim	ESG Type	Reasoning
1	Unilever	8	Product regulations and claims: composition and sourcing transparency Risk (OO) New regulations may restrict how we source raw materials, leading to higher costs.			
2	Unilever	23	Analysis of renewable and non-renewable electricity in our operations Renewable electricity (% of MWh) 2025 2024(a) On-site renewable self-generation 3% 2% Purchased renewable electricity 85% 83% On-site Purchase Power Agreements 1% 0% Off-site Purchase Power Agreements 13% 9% Green energy products from an energy supplier (green tariffs/bundled RECs) 8% 14% Green energy purchased in markets with greater than 95% renewable grid 0% 0% Unbundled RECs bought in market 63% 60% Total Unilever renewable electricity 88% 85% Non-renewable electricity (% of MWh) On-site non-renewable electricity generation (e.g.			
3	Unilever	36	Those additions include those resulting from business combinations and are before depreciation, amortisation and any re-measurements.			
4	Unilever	38	■Value chain: People employed by Unilever’s business partners, including our global supply chain, collaborative manufacturers, distributors, retailers, agents, franchisers and importers.			
5	Unilever	45	The campaign was activated in factories, warehouses and office locations, and on our internal social media platform.			
6	Unilever	62	This column outlines how the TCFD disclosures are mapped across the relevant sections of the sustainability statement.			
7	Unilever	7	Our CEO is responsible for the implementation of the COBP and Code Policies and is supported by the Global Code and Policy Committee, chaired by the Chief Legal Officer, and cross-functional Business Integrity Committees.			
8	Unilever	16	Scope 3 (value chain) The table on page 229 demonstrates the contribution of our identified scope 3 decarbonisation levers towards our targeted GHG emissions reductions to 2030.			
9	Unilever	42	Tracking and monitoring effectiveness of actions We monitor the effectiveness of our policies in embedding respect for human rights within our own operations and across our value chain through a number of programmes and committees, including the Global Code and Policy Committee (own operations) and the Procurement Business Integrity Committee (supply chain).			
10	Unilever	44	Our annual UniVoice survey is a key tool to understand employee sentiment.			
11	Unilever	40	This process is used to identify approved partners for procured products and services and to assess risk according to the nature of those goods or services and the geographies in which those partners operate.			
12	Unilever	30	If a programme does not meet these criteria, allocation performed where the supplier, crop and/or site associated with the programme is identified as relating to Ice Cream.			
13	Unilever	55	This approach is underpinned by Unilever’s COBP, with each principle supported by a Code Policy setting out what employees must and must not do to ensure they are living the Code.			
14	Unilever	41	In November 2025, we held a roundtable in the margins of the UN Business Forum on Human Rights, bringing together rightsholders and proxies on their behalf, representing people in our own operations, value chain and the communities in which we operate.			
15	Unilever	40	We initiated a comprehensive review of our sustainability and human rights policy framework in 2025 to ensure alignment with emerging legislation and external benchmark standards.			
16	Unilever	58	Unilever provides input to consultations on regulatory changes, sharing new scientific approaches and how we apply them to safety decision- making.			
17	Unilever	52	Similarly, potential impacts in relation to marketing to children are assessed through reviewing their media consumption behaviour.			
18	Unilever	55	IMPACT, RISK AND OPPORTUNITY MANAGEMENT Description of the processes to identify and assess material impacts, risks and opportunities The process for assessing and identifying our material impacts, risks and opportunities is informed by our double materiality assessment (DMA), as set out in our General Information section on page 216.			
19	Unilever	54	In addition to our product innovations, Unilever announced the acquisition of the personal care brand Wild in April 2025.			
20	Unilever	35	Allocation to Ice Cream: Waste from dedicated manufacturing and logistics sites.			
21	Unilever	53	METRICS AND TARGETS Targets No formal targets have been defined for our consumers and end-users with respect to the IROs identified in our sustainability statement.			
22	Unilever	55	The Board is supported in this by the Corporate Responsibility and Audit subcommittees.			
23	Unilever	41	SOCIAL DISCLOSURES 252 Unilever Annual Report and Accounts 2025 Sustainability Statement			
24	Unilever	32	The table below demonstrates how these policies address our material risks and impacts in relation to resource use and circular economy.			
25	Unilever	17	In 2025, we made progress developing alternative propellant systems to replace hydrofluorocarbon propellants in North America.			
26	Unilever	2	Please refer to pages 271 and 272 of the Unilever Annual Report and Accounts 2025 for the Sustainability Statement Limited Assurance Report.			
