Company	Page	Claim_Text	ESG_Type	Claim_Type	Evidence_Exists	Risk_Signal
Keurig Dr Pepper	3	Do Good., as the ideal characterization of our company’s purpose and a reflection of how and why our 29,000 employees contribute beyond the bottom line.	S	Strong	Yes	Supported
Keurig Dr Pepper	3	In these pages, you’ll also find a clear account of robust governance structures, well-defined expected outcomes, intentionally designed roadmaps and continued progress toward our goals.	G	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	3	• We designed 96% of our packaging to be recyclable or compostable and reduced our virgin plastic use by 17% compared to the 2019 baseline.	E	Strong	Yes	Supported
Keurig Dr Pepper	3	• We collaborated on projects in our highest water-risk operating communities to replenish 66% of the water used in our beverages.	S	Strong	Yes	Supported
Keurig Dr Pepper	3	• We made steady progress for climate and nature action, achieving our Scope 3 supplier engagement goal, increasing the electricity obtained from renewable sources and attaining the halfway point of our regenerative agriculture and conservation goal.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	3	Several of our goals are coming due in 2025, and we are taking a thoughtful approach to our commitments and disclosures.	G	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	3	This approach aims to balance changing compliance requirements, market realities and stakeholder expectations.	G	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	4	Our approximately 29,000 employees aim to enhance the experience of every beverage occasion and to make a positive impact for people, communities and the planet.	S	Future Promise	Partial	Weak Evidence
Keurig Dr Pepper	5	KDP Impact is our multi-year social and environmental agenda comprised of strategic initiatives that aim to make a positive impact with every drink.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	7	This helps us identify opportunities and implement climate mitigation measures for the communities and regions in which we operate.	E	Vague	No	Vague
Keurig Dr Pepper	7	Our efforts include pursuing energy efficiency in our operations and products and working to decarbonize portions of our fleet and manufacturing operations through renewable and low carbon energy sources and technologies.	E	Vague	No	Vague
Keurig Dr Pepper	7	A regenerative approach to agriculture production can create many benefits, such as enhancing soil health, improving water quality, mitigating deforestation and increasing biodiversity and ecosystem resilience.	E	Vague	No	Vague
Keurig Dr Pepper	7	Because Scope 3 emissions account for more than 97% of KDP’s GHG emissions, we continue to engage with our value chain partners on a shared climate journey.	E	Strong	Yes	Supported
Keurig Dr Pepper	7	We support the creation of incentives in clean energy and transportation projects, along with initiatives to streamline permitting processes for the faster deployment of clean energy and enhanced grid resiliency.	E	Vague	No	Vague
Keurig Dr Pepper	7	KDP’s cross-functional teams, including Procurement, Operations, Engineering, Marketing, Research & Development (R&D), Legal and Sustainability, collaborate to advance our climate and nature goals.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	7	We have established several policies that outline our approach and reinforce our commitment to climate and nature action.	E	Vague	No	Vague
Keurig Dr Pepper	8	2024 Progress In 2024, we continued our efforts toward our GHG emissions-reduction targets validated by the SBTi that are aligned to the Paris Agreement climate change goal of limiting global warming to well below 2ºC above pre-industrial levels.	E	Future Promise	Partial	Weak Evidence
Keurig Dr Pepper	8	We increased our electricity obtained from renewable sources to 85% in 2024, up from 83% in 2023.	E	Strong	Yes	Supported
Keurig Dr Pepper	8	Our continued transition to renewables contributes in part to the reduction of our Scope 1 and 2 emissions compared to the 2018 baseline, which in 2024 totaled 21%.	E	Strong	Yes	Supported
Keurig Dr Pepper	8	Our performance showed no change from 2023 due to an increase of total miles driven by our owned and operated fleet in the U.S. and Mexico, which was only partially offset by improvements in fuel efficiency.	E	Vague	No	Vague
Keurig Dr Pepper	8	We also reduced emissions from our selected Scope 3 categories by 13% from the 2018 baseline.	E	Strong	Yes	Supported
Keurig Dr Pepper	8	Importantly, we achieved our 2024 goal to engage bottlers and select suppliers representing 50% of Scope 3 emissions to set a science-based target.	E	Strong	Yes	Supported
Keurig Dr Pepper	8	In 2025, and continuing in the future, we will continue to implement emissions-reducing initiatives, such as investing in energy efficiency infrastructure improvements, optimizing our fleet and accelerating the purchase of electricity obtained from renewable sources.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	8	We have also committed to support regenerative agriculture and conservation on 250,000 acres of land by 2030 via targeted projects within our apple, coffee and corn supply chains3.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	8	We continue to evaluate the interconnectivity of climate, nature and water benefits and are working to better integrate our measurement and reporting to ensure that progress from our broader environmental efforts is captured within our relevant climate, nature and water goals going forward.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	8	In calendar year 2025, KDP is updating our 2030 GHG emissions-reductions targets to align to SBTi’s most current guidance, the Paris Agreement climate change goal of limiting global warming to 1.5ºC above pre-industrial levels.	E	Future Promise	Partial	Weak Evidence
Keurig Dr Pepper	8	In addition, we will continue to disclose the electricity obtained from renewable sources and progress on our 2030 target to support regenerative agriculture and conservation on 250,000 acres of land.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	8	**Ingredients and Packaging are included in purchased goods and services; Logistics includes Upstream and Downstream Transportation and Distribution; Other includes Employee Commuting, Business Travel, Upstream Energy-related Activities, Capital Goods, Professional Services and Investments.	E	Vague	No	Vague
Keurig Dr Pepper	8	2022 Total Progress (Cumulative) Acres Supported to Enhance Conservation Efforts on Non- Agricultural Land Located Near Farms Acres Supported to Achieve Regenerative Agriculture Outcomes on Farms *Regenerative Agriculture & Conservation Acres may not sum due to rounding of hectares to acres conversion.	E	Vague	No	Vague
Keurig Dr Pepper	9	Ireland announced plans in 2024 to electrify our heat through the installation of the latest technology in heat pumps and implement several other energy savings initiatives.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	9	Once construction is complete, the state-of-the-art beverage concentrate production facility will be powered with renewable electricity and will minimize overall energy consumption.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	9	This will enable the facility to reduce approximately 1,400 metric tons of carbon emissions annually, contributing a small amount to KDP’s 2030 climate commitments to obtain 100% of electricity from renewable sources and reduce Scope 1 and 2 emissions.	E	Future Promise	Partial	Weak Evidence
Keurig Dr Pepper	9	We advanced the electrification of our vehicle fleet in Canada in 2024, a strategic step toward reducing our GHG emissions.	E	Vague	No	Vague
Keurig Dr Pepper	9	Operating primarily in Quebec, Canada, we estimate this has resulted in an 8% reduction in KDP Canada’s fleet emissions compared to standard fuel vehicles.	E	Strong	Yes	Supported
Keurig Dr Pepper	9	Moreover, in 2024, the state of New York awarded funding to a group of 10 apple farmers to enable the implementation of conservation practices, including habitat enhancements identified in our Apple Pollinator Program.	S	Vague	No	Vague
Keurig Dr Pepper	9	Our support helps farmers participating in the program implement practices that build soil health, protect critical waterways and improve ecosystem resilience.	E	Vague	No	Vague
Keurig Dr Pepper	9	Efforts like these help coffee communities enjoy cleaner drinking water, improve yields and produce delicious coffee.	E	Vague	No	Vague
Keurig Dr Pepper	9	Between 2022 and 2024, more than 3,000 coffee farmers have adopted practices that support regenerative outcomes, leading to healthier soil and an average yield improvement of 8.6% from a 2022 baseline.	E	Strong	Yes	Supported
Keurig Dr Pepper	11	As part of our aspiration to achieve Net Positive Water Impact by 2050, we focus our water stewardship efforts on water availability, quality and access.	E	Future Promise	No	Unsubstantiated
Keurig Dr Pepper	11	To refine our understanding of challenges for our high water-risk sites and to identify opportunities to implement water-related measures, we assess each site in the context of the surrounding watershed, the local water issues and other local entities’ interest and perspectives on those issues.	E	Vague	No	Vague
