n	status	page	sentence	drop_reason	esg	claim_type	category	reason	used_context	verifier	in_sample
92	refuted	3	■The Remuneration Committee aligns Unilever’s long-term incentive plan (Performance Share Plan) with sustainability priorities to support delivery of the sustainability strategy.	governance_role	G	Vague	genuine_property	Asserts PSP incentive plan is aligned with sustainability priorities; verifiable property	False	agents	False
110	confirmed	4	Sustainability performance and incentives We continue to formally link remuneration for management employees, including the ULE, to performance against our sustainability goals.	governance_role	G	Vague	genuine_property	Management remuneration formally linked to sustainability goals; verifiable operational property	False	agents	False
205	refuted	7	POLICIES FOR MANAGING SUSTAINABILITY MATTERS Our Code of Business Principles (COBP) and Code Policies govern employee behaviour and cover all material sustainability matters identified by Unilever.	not_assertion	G	Vague	genuine_property	COBP governs employee behaviour and covers all material sustainability matters; verifiable property	False	agents	False
214	confirmed	7	This includes our non-retaliation policy, which applies to all employees who raise issues.	not_assertion	G	Vague	genuine_property	Context: Unilever's non-retaliation policy applies to all employees who raise issues	True	agents	False
231	refuted	8	■When evaluating the environmental safety of our products, we conduct risk assessments on new ingredients before they are introduced to the market.	not_assertion	E	Vague	genuine_property	Unilever conducts risk assessments on new ingredients before market introduction; own practice	False	agents	False
232	refuted	8	Existing ingredients are assessed annually and before product launches to ensure safety based on total tonnage.	methodology	E	Vague	genuine_property	Existing ingredients assessed annually and before launches; verifiable own operational practice	False	agents	False
234	refuted	8	While consultations with affected communities regarding shared biological resources have not yet been completed as part of our risk assessments, we recognise the importance of this engagement and will incorporate it into future local assessments.	methodology	S	Future Promise	genuine_commitment	Own commitment to incorporate affected-community consultation into future local assessments	False	agents	False
278	refuted	10	■Comply with relevant environmental legislation and internal Unilever standards in our operations.	not_assertion	E	Vague	genuine_commitment	Stem 'This policy commits Unilever to' comply with environmental legislation; own commitment	True	agents	False
279	contested	10	■Continuously enhance our environmental management systems and processes to improve performance, setting internal targets and public goals with clear metrics.	policy_content	E	Vague	genuine_commitment	Policy commits Unilever to enhance environmental management, set targets with clear metrics	True	agents	False
280	refuted	10	■Report all incidents and near misses according to reporting requirements, including thorough investigation, follow-up and communication of lessons learned.	not_assertion	E	Vague	genuine_commitment	Policy commits Unilever to report and investigate all environmental incidents and near misses	True	agents	False
281	refuted	10	■Monitor and report transparently on our annual progress against public goals.	broken_fragment	E	Vague	genuine_commitment	Policy commits Unilever to transparently report annual progress against public goals	True	agents	False
286	contested	10	Unilever’s Environmental Care Framework Standards (ECFWS) apply to all our operations and mandate that the Environmental Policy is implemented at all Unilever sites.	not_assertion	E	Vague	genuine_property	ECFWS apply to all operations and mandate Environmental Policy at all sites	False	agents	False
287	confirmed	10	The ECFWS requires sites to identify potential serious environmental incidents or emergencies and establish comprehensive plans to prevent or mitigate their likely consequences.	not_assertion	E	Vague	genuine_property	Own sites required to identify serious environmental incidents and establish prevention plans	False	agents	False
288	confirmed	10	Our manufacturing sites undergo Environmental Compliance Audits and are reviewed by Corporate Audit to assess the robustness of their ECFWS implementation.	not_assertion	E	Vague	genuine_property	Manufacturing sites undergo Environmental Compliance Audits reviewed by Corporate Audit	False	agents	False
299	confirmed	10	We verify alignment to and achievement of our RPP’s mandatory requirements and mandatory management systems through self- declarations at registration, annual re-registration to our systems, routine due diligence and risk-based audits.	methodology	E	Vague	genuine_property	Unilever verifies supplier RPP compliance via declarations, due diligence and risk-based audits	False	agents	False
301	contested	10	We seek to implement and independently verify the policy requirements over time with all our suppliers.	not_assertion	G	Vague	genuine_commitment	Own forward-looking pledge to implement and independently verify supplier policy compliance	False	agents	False
313	confirmed	10	We make key Unilever policies (including the Unilever Environmental Policy, RPP and SAP) publicly available on our website to ensure that we are transparent in our approach, providing access to all our stakeholders.	not_assertion	G	Vague	genuine_property	Verifiable transparency practice: key policies published on website	False	agents	False
315	confirmed	11	Climate GOVERNANCE Sustainability performance and incentives We continue to formally link remuneration for management employees, including the ULE, to performance against our sustainability goals.	governance_role	G	Vague	genuine_property	Management remuneration formally linked to sustainability goals, like PSP example	False	agents	False
319	confirmed	11	It was first validated in 2017 by the Science Based Targets initiative (SBTi) as compatible with a 1.5°C pathway in line with the Paris Agreement.	not_assertion	E	Strong	genuine_property	'It' is Unilever's scope 1+2 target; SBTi-validated 1.5C compatible in 2017	True	agents	False
