PDF_Page	Now_in_v4_final	Killed_by_in_v4.0	ESG	Claim_Type	Sentence
4	still missed	governance_role	G	Vague	Sustainability performance and incentives We continue to formally link remuneration for management employees, including the ULE, to performance against our sustainability goals.
7	still missed	not_assertion	G	Vague	This includes our non-retaliation policy, which applies to all employees who raise issues.
10	still missed	not_assertion	E	Vague	The ECFWS requires sites to identify potential serious environmental incidents or emergencies and establish comprehensive plans to prevent or mitigate their likely consequences.
10	recovered	not_assertion	E	Vague	Our manufacturing sites undergo Environmental Compliance Audits and are reviewed by Corporate Audit to assess the robustness of their ECFWS implementation.
10	still missed	methodology	E	Vague	We verify alignment to and achievement of our RPP’s mandatory requirements and mandatory management systems through self- declarations at registration, annual re-registration to our systems, routine due diligence and risk-based audits.
10	recovered	not_assertion	G	Vague	We make key Unilever policies (including the Unilever Environmental Policy, RPP and SAP) publicly available on our website to ensure that we are transparent in our approach, providing access to all our stakeholders.
11	still missed	governance_role	G	Vague	Climate GOVERNANCE Sustainability performance and incentives We continue to formally link remuneration for management employees, including the ULE, to performance against our sustainability goals.
11	still missed	not_assertion	E	Strong	It was first validated in 2017 by the Science Based Targets initiative (SBTi) as compatible with a 1.5°C pathway in line with the Paris Agreement.
11	still missed	length	E	Future Promise	Scope of target Target Timeline Scope 1 and 2 emissions from our operations 100% reduction By 2030, against a 2015 baseline Scope 3 energy and industrial GHG emissions from purchased goods and services (ingredients, packaging), upstream transport and distribution, energy and fuel-related activities, direct emissions from use of sold products (HFC propellants), end-of-life treatment of sold products, and downstream leased assets (ice cream retail cabinets) 42.0% reduction By 2030, against a 2021 baseline Scope 3 forest, land and agriculture (FLAG) GHG emissions from purchased goods and services (ingredients) 30.3% reduction By 2030, against a 2021 baseline Climate mitigation actions We have identified the following decarbonisation levers and actions that will contribute to the delivery of our climate targets across our operations and our value chain: Decarbonisation lever Key action Details Scope 1 and 2 (our operations) Thermal and electrical energy Improving efficiency and using alternative sources Improving thermal and electrical efficiency.
12	still missed	policy_content	E	Vague	■Ensure carbon is priced at levels necessary for the delivery of the Paris Agreement goals.
12	still missed	broken_fragment	E	Vague	■Support forest protection and nature restoration.
12	still missed	policy_content	E	Vague	■Encourage evolution of GHG Protocol standards to incentivise faster emissions reduction actions in value chains.
15	recovered	navigation	E	Future Promise	We have set ambitious plastics targets, including increasing the use of recycled content in our packaging, reducing our virgin plastic footprint, and increasing the reusability, recyclability and compostability of our packaging (see page 243).
15	still missed	not_assertion	E	Strong	We have invested over €280 million in Unilever Oleochemicals Indonesia (UOI) via which more than 50% of our palm derivatives are processed.
15	recovered	not_assertion	E	Strong	Implementing water stewardship programmes: In 2025, we had 29 sites in water-stressed areas with an active water stewardship programme in place (excluding one programme related to Ice Cream).
16	recovered	not_assertion	E	Strong	In 2025, we implemented a hybrid wind and solar direct Power Purchase Agreement (PPA) in Poland, a multi-buyer PPA with our collaborative manufacturers in India, and a virtual PPA in Spain.
16	still missed	not_assertion	E	Strong	For example, our Vinhedo and Valinhos sites in Brazil now use biomethane instead of natural gas.
16	recovered	reference_dense	E	Strong	By the end of 2025, almost 200 suppliers (2024: 181) were actively participating in the Supplier Climate Programme (SCP), accounting for over 40% of Unilever’s scope 3 emissions from raw materials, ingredients and packaging.
16	recovered	not_assertion	E	Strong	We expanded our supplier product carbon footprint (PCF) data collection, receiving submissions from 91 suppliers and collecting over 2,000 PCF data points.
16	still missed	not_assertion	E	Vague	In 2025, we scaled this across priority soap bar brands in India and Indonesia following a successful launch in 2024.
16	still missed	not_assertion	E	Vague	■Home Care: We expanded our Wonder Wash laundry detergent range, designed for short cycles, across more geographies and with new variants.
16	still missed	not_assertion	E	Strong	Since 2021, we have invested over €280 million in UOI (2024: €218 million) via which more than 50% of our palm derivatives are processed.
16	recovered	not_assertion	E	Strong	Regenerative agriculture In 2025, we implemented 12 new regenerative agriculture projects, bringing our total to 34 projects (excluding one project relating to Ice Cream) covering 254,000 hectares since 2021.
16	recovered	not_assertion	E	Future Promise	Our Foods business is partnering with CJ Selecta to roll out regenerative soybean farming across 45,000 hectares of Brazil’s Cerrado by 2030.
17	recovered	not_assertion	E	Strong	Through our purchase of recycled plastic, strategic partnerships and participation in extended producer responsibility (EPR) schemes, we collected and processed more plastic than we sold in 2025.
17	still missed	not_assertion	E	Vague	Nonetheless, we made progress in areas such as network transformation, route optimisation, truck loadability enhancement, and transshipment reduction across key markets.
17	still missed	not_assertion	E	Vague	For example, we scaled up the usage of EVs in the regions of Greater Asia, Greater China, Latin America and PTAB.
17	still missed	not_assertion	E	Strong	Aerosol propellants Outside of the US and Canada, Unilever uses natural hydrocarbon gases for aerosol spray formats, which are not classified as GHGs.
17	still missed	not_assertion	E	Strong	Dove launched an alternative propellant with a lower Global Warming Potential within its hairspray portfolio in the US and Canada.
17	recovered	reference_dense	E	Strong	Climate & Nature Fund In 2025, our total Climate & Nature Fund commitments since 2020 were €0.76 billion (2024: €0.67 billion).
17	still missed	not_assertion	E	Strong	Cumulative spend by the Fund since 2020 reached €0.5 billion against our commitment to invest €1 billion by 2030.
18	still missed	length	E	Future Promise	Climate targets (million tonnes CO2e) Baseline year Total baseline emissions in scope of 2039 net zero ambition Emissions in scope of 2030 target % Baseline emissions in scope of 2030 target 2030 target % reduction 2030 target absolute reduction Scope 1 and 2 2015 2.1 95.6%(a) 2.0 100.0% 2.0 Scope 3 E&I 2021 45.1 69.6%(b) 31.4 42.0% 13.2 Scope 3 FLAG 2021 10.2 81.9%(b) 8.4 30.3% 2.5 Total Scope 3 2021 55.3 71.8% 39.8 39.5% 15.7 (a) Exceeds minimum coverage required by SBTi of 95%.
18	still missed	length	E	Strong	2030 target % reduction 2015 baseline % change vs. 2015 baseline Climate targets – Scope 1 and 2 (million tonnes CO2e) 2025 2024(a) 2023(a) Reduce absolute operational GHG emissions (Scope 1 and 2) by 100% by 2030 vs. a 2015 baseline 100% 2.01 (77) % (72) % (70) % Unilever(b) 1.75 (77) % — — Ice Cream 0.26 (74) % — — (a) 2024 and 2023 measured including Ice Cream.
