Company	Page	Sentence	Drop_Reason
Keurig Dr Pepper	1	[COVER] 2024 Report	length
Keurig Dr Pepper	2	03 A LETTER FROM OUR CHIEF EXECUTIVE OFFICER AND CHIEF CORPORATE AFFAIRS & SUSTAINABILITY OFFICER 04 OVERVIEW 06 CLIMATE & NATURE ACTION 07 Strategy 08 2024 Progress 09 Our Work in Action 10 WATER USE & STEWARDSHIP 11 Strategy 12 2024 Progress 13 Our Work in Action 15 PACKAGING & CIRCULAR ECONOMY 16 Strategy 18 2024 Progress 19 Our Work in Action 21 HUMAN RIGHTS, RESPONSIBLE SOURCING & SUPPLY CHAIN LIVELIHOODS 22 Strategy 23 2024 Progress 24 Our Work in Action 25 CONSUMER HEALTH & WELL-BEING 26 Strategy 27 2024 Progress 28 Our Work in Action 29 EMPLOYEE HEALTH, SAFETY & WELL-BEING 30 Strategy 31 2024 Progress 32 Our Work in Action 34 CORPORATE GOVERNANCE & ETHICS 35 Strategy 36 Our Work in Action 38 ABOUT THIS REPORT 39 Glossary 41 Endnotes 42 APPENDIX Table of Contents 2024 KEURIG DR PEPPER IMPACT REPORT 2 Overview Climate & Nature Action Water Use & Stewardship Packaging & Circular Economy Human Rights, Responsible Sourcing & Supply Chain Livelihoods Consumer Health & Well-Being Employee Health, Safety & Well-Being Corporate Governance & Ethics Appendix	length
Keurig Dr Pepper	3	A Letter from our Chief Executive Officer and Chief Corporate Affairs & Sustainability Officer Everything we do at Keurig Dr Pepper (KDP) starts with our purpose.	not_assertion
Keurig Dr Pepper	3	In 2024, we elevated our long-standing platform for corporate responsibility, Drink Well.	not_assertion
Keurig Dr Pepper	3	Do Good., as the ideal characterization of our company’s purpose and a reflection of how and why our 29,000 employees contribute beyond the bottom line.	not_assertion
Keurig Dr Pepper	3	With a vision to offer a beverage for every need, anytime and anywhere, KDP lives that purpose by delivering great brands, great experiences and great impact.	not_assertion
Keurig Dr Pepper	3	KDP Impact is our multi-year social and environmental agenda that supports both our company strategy and our purpose.	not_assertion
Keurig Dr Pepper	3	You will find in the details of this 2024 Impact Report that our efforts are rooted in action, realized through partnerships and measured in results.	not_assertion
Keurig Dr Pepper	3	We have further refined our focus and efforts to those areas of impact where we can create meaningful change as a leading beverage company.	not_assertion
Keurig Dr Pepper	3	We’ll call out a few of the highlights: • We continued to deliver on our commitments to responsibly source our coffee and cocoa — in fact, we were again the largest buyer of Fair Trade USA certified coffee for our owned and partner brands.	not_assertion
Keurig Dr Pepper	3	• We achieved our goal to provide more product choices - 60% of our portfolio now meets our definition of “positive hydration,” — and continued our efforts to reduce added sugar across U.S. Refreshment Beverages — a 7% reduction since 2020.	not_assertion
Keurig Dr Pepper	3	We also unveiled our vision for the future with the Keurig K-Rounds plastic- and aluminum-free coffee pods and Keurig Alta brewer.	not_assertion
Keurig Dr Pepper	3	Going forward, we remain dedicated to continuous improvement — adapting our approach as the landscape evolves and our work progresses.	not_assertion
Keurig Dr Pepper	3	We detail these choices and share our commitments for the future throughout the report.	not_assertion
