Company	Page	Claim_Text	ESG_Type	Claim_Type	Evidence_Exists	Risk_Signal
Unilever	3	Updates are provided by the global Sustainability function five times a year.	E	Vague	No	Vague
Unilever	4	The long-term Performance Share Plan (PSP) is linked to financial and sustainability performance, guided by our Sustainability Progress Index (SPI), which accounts for 15% of the total PSP award.	E	Future Promise	Partial	Weak Evidence
Unilever	4	We produce and sell consumer goods across our four Business Groups: Beauty & Wellbeing, Personal Care, Home Care and Foods.1 We operate across more than 190 manufacturing sites worldwide and employ over 96,000 employees.2 For over two decades, we have driven an ambitious sustainability agenda.	S	Strong	Yes	Supported
Unilever	4	In addition to our sustainability goals, we are committed to respecting human rights, acting with integrity and prioritising people’s safety.	S	Future Promise	No	Unsubstantiated
Unilever	5	This approach ensured inclusion of perspectives from all key stakeholder groups, including affected communities.	S	Vague	No	Vague
Unilever	7	The COBP and Code Policies were refreshed in 2025 to make them easier for employees to engage with; these changes were implemented in early 2026.	G	Vague	No	Vague
Unilever	7	Day-to-day responsibility for implementing the COBP and Code Policies is delegated to senior management across our Business Groups and functions at global, regional and country levels.	G	Vague	No	Vague
Unilever	7	We require our employees to submit an annual pledge confirming they understand, commit to, and adhere to the COBP.	G	Future Promise	No	Unsubstantiated
Unilever	7	Employees are required to report any actual or potential breach of the COBP and Code Policies immediately.	G	Vague	No	Vague
Unilever	7	We have set out the available reporting channels within our Code Policies and highlight these during Business Integrity training and in our communications.	G	Vague	No	Vague
Unilever	8	However, 99% of our GHG emissions come from scope 3 emissions within our upstream and downstream value chain.	E	Strong	Yes	Supported
Unilever	8	Increased global regulation also means more scrutiny of sustainability claims, potentially raising costs and harming revenue due to reputational damage.	E	Future Promise	No	Unsubstantiated
Unilever	10	We began a comprehensive review of our Sustainability and Human Rights policy framework in 2025, with any required policy revisions planned for implementation in 2026.	E	Future Promise	No	Unsubstantiated
Unilever	10	Unilever’s Environmental Care Framework Standards (ECFWS) apply to all our operations and mandate that the Environmental Policy is implemented at all Unilever sites.	E	Vague	No	Vague
Unilever	10	Our manufacturing sites undergo Environmental Compliance Audits and are reviewed by Corporate Audit to assess the robustness of their ECFWS implementation.	G	Vague	No	Vague
Unilever	10	It sets out the mandatory requirements suppliers must meet and the mandatory management systems we expect them to have in place to identify and manage significant environmental risks.	E	Future Promise	No	Unsubstantiated
Unilever	10	This includes complying with all legal requirements and holding necessary permits for GHG emissions management and reduction.	E	Vague	No	Vague
Unilever	10	This includes ensuring suppliers provide deforestation- and conversion-free materials.	E	Vague	No	Vague
Unilever	10	This includes complying with legal requirements with respect to plastic feedstock sourcing, plastics production, storage, transport and end-of-life management.	E	Vague	No	Vague
Unilever	10	The policy sets out four principles that these suppliers are required to comply with: ■Protecting natural ecosystems from deforestation and conversion: We are committed to ensuring that the in-scope materials entering our supply chain will not originate from deforested land or converted natural ecosystems.	E	Future Promise	No	Unsubstantiated
Unilever	10	■Respecting and promoting human rights: We are committed to respecting and advancing the human rights of all people in line with the UN Guiding Principles on Business and Human Rights.	S	Vague	No	Vague
Unilever	10	■Transparency and traceability: We are committed to transparency and traceability in sourcing, governance and reporting to enable us to drive continuous improvement.	G	Vague	No	Vague
Unilever	10	■Being a force for good for people and planet: We are committed to working through partnerships to protect natural ecosystems within our supply chain, encouraging legal recognition of customary rights, implementing regenerative agricultural land use practices, and finding ways to restore damaged landscapes.	E	Future Promise	No	Unsubstantiated
Unilever	10	They are made up of six core principles, which set out that the benchmarked standards should: ■Promote agricultural and business practices that ensure integrity and accountability in a way that is transparent and traceable.	G	Vague	No	Vague
Unilever	10	■Cover the respect and advancement of required human rights principles and ensure that these are implemented in line with the UN Guiding Principles on Business and Human Rights.	S	Vague	No	Vague
Unilever	10	The standards are implemented by our suppliers and farmers and enable us to source agricultural materials sustainably on an ongoing basis.	E	Vague	No	Vague
Unilever	10	We make key Unilever policies (including the Unilever Environmental Policy, RPP and SAP) publicly available on our website to ensure that we are transparent in our approach, providing access to all our stakeholders.	G	Vague	No	Vague
Unilever	11	Climate Transition Action Plan Our second Climate Transition Action Plan (CTAP) was approved by shareholders in 2024.	G	Future Promise	No	Unsubstantiated
Unilever	11	It outlines our 2030 climate targets and the mitigation, adaptation and advocacy actions we will take to achieve them.	E	Future Promise	No	Unsubstantiated
Unilever	11	The CTAP sets out our long-term ambition to achieve net zero GHG emissions by 2039.	E	Future Promise	No	Unsubstantiated
Unilever	11	The CTAP has not been revised in 2025 as a result of the demerger of our Ice Cream business; impacts on our decarbonisation levers and actions will be reviewed in 2026.	E	Future Promise	No	Unsubstantiated
Unilever	11	Climate targets We have set near-term climate targets to reduce absolute GHG emissions from our operations (scope 1 and 2) and our value chain (scope 3).	E	Future Promise	No	Unsubstantiated
Unilever	11	Our scope 1 and 2 target was set versus a 2015 baseline using the market- based approach.	E	Future Promise	No	Unsubstantiated
