ID,Page,Sentence,Real ESG Claim,ESG Type,Reasoning
1,3,Updates are provided by the global Sustainability function five times a year.,,,
2,4,"We produce and sell consumer goods across our four Business Groups: Beauty & Wellbeing, Personal Care, Home Care and Foods.1 We operate across more than 190 manufacturing sites worldwide and employ over 96,000 employees.2 For over two decades, we have driven an ambitious sustainability agenda.",,,
3,5,"This approach ensured inclusion of perspectives from all key stakeholder groups, including affected communities.",,,
4,7,"Day-to-day responsibility for implementing the COBP and Code Policies is delegated to senior management across our Business Groups and functions at global, regional and country levels.",,,
5,7,The COBP and Code Policies were refreshed in 2025 to make them easier for employees to engage with; these changes were implemented in early 2026.,,,
6,7,We have set out the available reporting channels within our Code Policies and highlight these during Business Integrity training and in our communications.,,,
7,10,It sets out the mandatory requirements suppliers must meet and the mandatory management systems we expect them to have in place to identify and manage significant environmental risks.,,,
8,10,Our manufacturing sites undergo Environmental Compliance Audits and are reviewed by Corporate Audit to assess the robustness of their ECFWS implementation.,,,
9,10,"They are made up of six core principles, which set out that the benchmarked standards should: ■Promote agricultural and business practices that ensure integrity and accountability in a way that is transparent and traceable.",,,
10,10,This includes ensuring suppliers provide deforestation- and conversion-free materials.,,,
11,10,Unilever’s Environmental Care Framework Standards (ECFWS) apply to all our operations and mandate that the Environmental Policy is implemented at all Unilever sites.,,,
12,10,"We began a comprehensive review of our Sustainability and Human Rights policy framework in 2025, with any required policy revisions planned for implementation in 2026.",,,
13,10,"We make key Unilever policies (including the Unilever Environmental Policy, RPP and SAP) publicly available on our website to ensure that we are transparent in our approach, providing access to all our stakeholders.",,,
14,10,■Cover the respect and advancement of required human rights principles and ensure that these are implemented in line with the UN Guiding Principles on Business and Human Rights.,,,
15,11,Regenerative agriculture Scaling up adoption Scaling up adoption of regenerative agriculture in our Foods business and working across shared supply chains with other businesses that share our suppliers to amplify the impact of programmes.,,,
16,13,"Additionally, this time period reflects several of our targets, such as those pertaining to scope 3 emissions and plastics (see pages 229 and 243).",,,
17,13,"However, impacts are considered as part of our impairment and viability assessments to ensure we are well placed to manage these risks and meet our obligations.",,,
18,14,■ Diseases and pests: Probability of pest/disease occurrence increases in line with maximum daily temperatures; pest sensitivities and yield losses are defined for each crop type; assessment informed by external literature and databases.,,,
19,15,"Implementing water stewardship programmes: In 2025, we had 29 sites in water-stressed areas with an active water stewardship programme in place (excluding one programme related to Ice Cream).",,,
20,15,"Our assessment indicates this risk is especially elevated in OECD countries, where regulatory maturity is high and both coverage and costs are expected to increase to 2050.",,,
21,15,See page 243 for details on our approach to reducing plastic-related regulatory risks.,,,
22,15,"To mitigate these risks, we are: Building resilience in our supply chain: Our supply chain and procurement teams manage a range of supply-related risks, including those influenced by climate factors, through established processes and an ongoing resilience programme implemented across all regions.",,,
23,15,"We have set ambitious plastics targets, including increasing the use of recycled content in our packaging, reducing our virgin plastic footprint, and increasing the reusability, recyclability and compostability of our packaging (see page 243).",,,
24,16,"By the end of 2025, almost 200 suppliers (2024: 181) were actively participating in the Supplier Climate Programme (SCP), accounting for over 40% of Unilever’s scope 3 emissions from raw materials, ingredients and packaging.",,,
25,16,"Examples of 2025 innovations include: ■Personal Care: We advanced our soap bar reformulation programme, using patented novel structuring technology to reduce palm oil-derived total fatty matter while improving efficacy and consumer benefits.",,,
26,16,"In 2025, we deepened engagement through the SCP working with 25 suppliers to identify GHG hotspots and decarbonisation opportunities across their value chains.",,,
27,16,"In 2025, we implemented a hybrid wind and solar direct Power Purchase Agreement (PPA) in Poland, a multi-buyer PPA with our collaborative manufacturers in India, and a virtual PPA in Spain.",,,
28,16,"Our Foods business is partnering with CJ Selecta to roll out regenerative soybean farming across 45,000 hectares of Brazil’s Cerrado by 2030.",,,
29,16,"Regenerative agriculture In 2025, we implemented 12 new regenerative agriculture projects, bringing our total to 34 projects (excluding one project relating to Ice Cream) covering 254,000 hectares since 2021.",,,
30,16,Scope 3 (value chain) The table on page 229 demonstrates the contribution of our identified scope 3 decarbonisation levers towards our targeted GHG emissions reductions to 2030.,,,
31,16,"To help manage this, we partner with KIS Group, a leading biogas provider in Asia, to secure biomethane supplies for the facility.",,,
32,16,"We expanded our supplier product carbon footprint (PCF) data collection, receiving submissions from 91 suppliers and collecting over 2,000 PCF data points.",,,
33,17,"Climate & Nature Fund In 2025, our total Climate & Nature Fund commitments since 2020 were €0.76 billion (2024: €0.67 billion).",,,
34,17,"Our report, Bold Plans, Real Impact, published in 2025, reinforces Unilever’s role in driving ambitious climate action.",,,
35,17,See page 243 for our Resource Use and Circular Economy disclosures.,,,
36,17,"Through our purchase of recycled plastic, strategic partnerships and participation in extended producer responsibility (EPR) schemes, we collected and processed more plastic than we sold in 2025.",,,
37,18,(c) Represents 15.7m CO2eT of total reductions by 2030 vs. 2021 baseline plus additional reductions to cater for emissions from growth in the period 2021–2030.,,,
38,18,"Despite headwinds in the reduction of our scope 1 and 2 GHG emissions, driven by vertical integration projects and manufacturing network changes, we continued to make progress in lowering our operational emissions through interventions such as those highlighted on page 227.",,,
39,18,Our GHG emissions for 2015 (scope 1 and 2) and 2021 (scope 3) were considered as representative of Unilever’s typical GHG emissions profile and form the baselines for our targets.,,,
40,18,Our targets that monitor how we are responding to our nature-related risks are set out within Biodiversity and Ecosystems on page 241.,,,
41,18,Scope 1 and 2 target performance The percentage change in scope 1 and 2 market-based GHG emissions is the difference between the current reporting period and the 2015 baseline period (1 October 2014 to 30 September 2015).,,,
42,19,"However, we are making progress to develop and scale lower GHG alternatives for these chemicals, as well as engaging with governments to accelerate the transition to sustainable chemicals, as set out on page 228.",,,
43,19,"This is a significant improvement from 2024 and marks a key milestone towards advancing the representativeness of our GHG data, as detailed on page 227.",,,
44,20,FLAG and E&I emission factors for relevant materials are obtained from the eQosphere database where available (provided by Quantis).,,,
45,20,"Scope 1 factors are provided by the IPCC, and scope 2 factors are based on Renewable Energy Attribute Certificates or supplier data, following the GHG Protocol’s scope 2 market-based method.",,,
46,20,Supplier product carbon footprint data: These are received annually directly from suppliers participating in the Supplier Climate Programme and internally validated.,,,
47,20,This data is consolidated and extrapolated across the sales of unclustered products at a category and country level to calculate total emissions of the 13 countries.,,,
48,21,"(e) Scope 1 emissions regulated by trading schemes amounted to 4.5% in 2025 (2024: 4.2%, 2023: 3.8%).",,,
49,21,"In 2025, scope 1 and 2 emissions amounted to 0.54 MtCO2 (2024: 0.47 MtCO2).",,,
50,21,"Our progress in decarbonising our own operations has led to overall reductions in scope 1 and 2 emissions through interventions in energy efficiency and renewable energy sourcing, as detailed on page 227.",,,
51,21,"We have seen an overall decrease of 5% in our total scope 1, 2 and 3 GHG emissions in 2025 from the prior year (including Ice Cream).",,,
52,24,Consideration of microplastics resulting from our packaging is detailed in our Resource Use and Circular Economy disclosures on page 243.,,,
53,24,Each relevant site performed a gap assessment against the standard and actions are in the process of being agreed where improvements are needed.,,,
54,24,"However, our Responsible Partner Policy (RPP) expects our business partners to put in place appropriate policies, processes and procedures to address environmental issues.",,,
55,24,"However, we evaluate consumer, worker and environmental exposures through our existing ingredient and product safety assessments, ensuring that our products and the ingredient levels we use are safe by design.",,,
56,24,"In some areas, our standards exceed regulatory requirements based on our environmental safety assessments or in regions where regulations are weak or poorly enforced.",,,
57,24,The framework sets out steps for sites to identify and implement actions addressing pollution-related impacts.,,,
58,24,Unilever’s Environmental Care Framework Standards (ECFWS) require sites to assess the potential for serious environmental incidents or emergency situations and implement comprehensive plans to prevent or mitigate the associated likely consequences.,,,
59,24,"We expect suppliers in our upstream value chain to meet or exceed the mandatory requirements of the RPP by implementing appropriate policies, management systems and practices.",,,
60,24,We monitor emissions from our sites at a local level to ensure compliance with legal requirements and permits.,,,
61,24,We promote sustainable and regenerative agriculture practices in our supply chain through the implementation of the Sustainable Agricultural Principles (SAP) and regenerative agriculture programmes.,,,
62,24,"We seek to minimise pollution by tracking relevant pollutants to air, water and soil, and implementing both normal operating and emergency control measures.",,,
63,25,"Each year, Unilever reviews the emissions volumes of pollutants listed in Annex II of Regulation (EC) No 166/2006 to ensure those near or above threshold levels are sampled, tested or estimated.",,,
64,25,"For sites without sampled data, estimates are based on proxy data from sampled sites using statistical modelling reviewed by external experts or, for air pollutants from energy combustion, on published emission factors.",,,
65,26,"Programmes must be implemented within the catchment of a Unilever water-stressed location, operate in line with either the Alliance for Water Stewardship Standard or the Prabhat approach, and be approved by a Unilever authority.",,,
66,26,"This product provides a short-cycle, low-water-use formulation.",,,
67,26,We continue to implement water stewardship programmes in water- stressed areas where we have manufacturing sites.,,,
68,26,"Within our upstream value chain, we manage water risk through our RPP and verify compliance with its mandatory requirements and management systems as described above.",,,
69,26,"■In 2025, we implemented nine additional water stewardship programmes, bringing our total to 29 active programmes (excluding one programme relating to Ice Cream) in Algeria, Argentina, Brazil, Chile, Cyprus, Egypt, India, Indonesia, Mexico, Nigeria, Pakistan, South Africa, Turkey and United Arab Emirates.",,,
70,28,"For example, we support independent palm smallholders through the creation of development hubs that coordinate activities to improve farm productivity and ecosystem protection and restoration.",,,
71,29,All actions are tracked against our target of protecting and restoring 1 million hectares of natural ecosystems by 2030.,,,
72,29,"Every project includes a range of relevant metrics covering biodiversity, climate and other ecosystem changes via our Measure, Report, Verify (MRV) framework, which generates output- and outcome-level data annually.",,,
73,29,"Local and Indigenous knowledge is integrated into our smallholder programme at every phase, including programme design and smallholder engagement, to support comprehensive land mapping and evaluation processes.",,,
74,29,"Regenerative agriculture In 2025, we implemented 12 new regenerative agriculture programmes, bringing our total to 34 programmes (excluding one project relating to Ice Cream) that collectively cover 254,000 hectares since 2021.",,,
75,29,"This has resulted in suppliers participating in Unilever’s supply chain and the protection and restoration of more than 8,000 hectares of forest.",,,
76,29,This investment will further expand our independent mills and direct sourcing associated with smallholder programmes.,,,
77,29,We do not use biodiversity offsets within any of our actions.,,,
78,29,"We have implemented 14 programmes (excluding two projects relating to Ice Cream) in total since 2021, covering around 660,000 hectares cumulatively.",,,
79,29,"We have plans to increase the implementation of our regenerative agriculture initiatives to more than 400,000 hectares through supplier programmes and co-investment through our Regenerative Agriculture Fund in 2026.",,,
80,30,Allocation to Ice Cream Implement regenerative agriculture practices: Programmes funded by or associated to an Ice Cream brand.,,,
81,30,"By 2030, our regenerative agriculture programme aims to cover approximately 25% of the land required to grow the agricultural raw materials associated with our key crops for Unilever’s products.",,,
82,30,"We set targets for both our regenerative agriculture and protect and restore programmes based on exposure to land and our key crops sourcing footprint, which we estimate at 4 million hectares.",,,
83,31,"(c) During the reporting period, 5 sites were transferred to Ice Cream which covered an area of 42 hectares.",,,
84,31,"(d) Raw materials purchased from non-sustainable sources but matched with credits representing verified sustainably sourced raw materials were 19% in 2025 (2024: 16%, 2023: 13%).",,,
85,31,"We continued to make progress against our regenerative agriculture target, implementing 12 new programmes in 2025.",,,
86,31,We plan to further scale the implementation of our initiatives through investment in our Regenerative Agriculture Fund in 2026.,,,
87,32,"In 2024, we introduced a global Waste Standard mandating minimum requirements for managing hazardous and non-hazardous waste at all Unilever sites.",,,
88,32,"In 2025, we collected and processed more plastic than we sold through our purchase of recycled plastic, strategic partnerships and participation in EPR schemes.",,,
89,32,"In 2025, we purchased more than 152 kilotonnes of recycled plastic in our packaging as part of these and other initiatives.",,,
90,32,"In 2025, we supported the creation of the Consumer Goods Forum’s policy guidelines for effective, locally tailored EPR systems in low- and middle-income countries, building on previously published Optimal EPR Principles.",,,
91,32,Our sites follow a framework to identify and implement actions to address negative waste-related impacts.,,,
92,32,"The standard mandates the application of the waste hierarchy, engaging employees on waste management principles and auditing of our waste service providers.",,,
93,32,Unilever’s policies regarding the sustainable sourcing of raw materials are detailed in our Biodiversity and Ecosystems section on page 239.,,,
94,32,"We also advocate for coordinated and enabling policy measures, like EPR, to create a level playing field and prevent individual business action on plastic from being uncompetitive.",,,
95,33,"2019 plastic packaging volumes are estimated by country and Business Group, based on the volume of plastic purchased in 26 countries in 2023 and the ratio of 2019 and 2023 total product sales volumes.",,,
96,33,Bottle collection is excluded to prevent double-counting with post- consumer recycled plastic packaging purchased by Unilever.,,,
97,33,"Our plastic collection programme is now implemented in 14 countries (2024: 11), the progress of which was supported by long-standing partners and new collaborators.",,,
98,33,"Reduce our virgin plastic footprint by 30% by 2026, and 40% by 2028, from a 2019 baseline; and Use 25% recycled plastic in our packaging by 2025 Virgin plastic packaging is derived from fossil fuels and/or bio-based sources and has not been recycled.",,,
99,33,"This progress was driven by packaging that introduced or expanded the use of recycled plastics and the demerger of our Ice Cream business, as Ice Cream products typically contain less recycled plastic than other parts of Unilever’s portfolio.",,,
100,33,"We have increased our use of PCR by 4% compared to 2024, reaching 25% PCR and meeting our 2025 target.",,,
101,33,"■Plastic packaging collected through activities directly funded by Unilever, tracked by country through invoices, contracts or other written confirmation from the relevant supplier organisations.",,,
102,34,"■Packaging materials include plastic, paper and board, glass and aluminium, and both virgin and secondary materials (materials derived from the recycling of primary materials that are reprocessed and then reused).",,,
103,35,Our plastic packaging actions and ’actual recyclability’ goals are outlined on page 243.,,,
104,35,Product and material metrics (%) 2025 2024(a) Rate of recyclable content in packaging materials used 80% 78% Ice Cream product and material metrics (%) Rate of recyclable content in packaging materials used 79% — (a) 2024 measured including Ice Cream.,,,
105,35,"This is based on documentation, provided by waste service providers, which breaks down the type of waste that has been collected, the amount and the waste management route.",,,
106,36,"In preparing our 2025 disclosure, we have followed the guidance provided by the European Union on treating turnover and capital expenditure from disposal groups and discontinued operations.",,,
107,36,"We meet the minimum set of criteria with respect to human rights, corruption and bribery, taxation and fair competition.",,,
108,38,"Ensuring product safety is fundamental to our business, and involves evaluating raw materials, product design and development, and manufacturing processes, with special consideration for vulnerable populations where relevant.",,,
109,38,The assessment identified the following as our salient human rights issues: ■Bullying and harassment; ■Discrimination; ■Fair wages and income; ■Forced labour; ■Freedom of association and collective bargaining; ■Health; ■Land rights (including Indigenous Peoples’ rights); and ■Working hours.,,,
110,38,We regularly review human rights issues to ensure our approach remains focused on saliency.,,,
111,39,"A fair wage or income supports an individual’s right to adequate living standard and is determined using multiple dimensions, including consideration of the hours worked, the pay systems used, the information workers receive in advance about their pay, and how this information is communicated.",,,
112,39,"Providing employees and workers in the value chain with fair wages or incomes, including payment of a living wage, can have a significant impact on their livelihoods.",,,
113,40,"The results determine which business partners require external auditing and specific engagement; for high-risk sites, either a site audit or a desktop assessment verifies supplier compliance with RPP requirements.",,,
