Company	Page	Claim_Text	ESG_Type	Claim_Type	Evidence_Exists	Risk_Signal	Audit_Verdict	Audit_Category	Audit_ESG	Audit_ClaimType	Audit_Notes
Unilever	3	We also consider subcontractors of our Tier 1 suppliers and third parties where we outsource the manufacturing and packaging of products (collaborative manufacturing) in our upstream value chain.	E	Vague	No	Vague	non_claim	methodology_definition	G	NA	value chain reporting scope definition
Unilever	4	The long-term Performance Share Plan (PSP) is linked to financial and sustainability performance, guided by our Sustainability Progress Index (SPI), which accounts for 15% of the total PSP award.	E	Future Promise	Partial	Weak Evidence	non_claim	governance_role	G	NA	15% is remuneration scheme parameter, not performance
Unilever	4	Our sustainability strategy utilises our global value chain and fosters collaboration with stakeholders to achieve our objectives.	E	Vague	No	Vague	non_claim	advocacy_opinion	E	NA	generic strategy self-description, no verifiable conduct
Unilever	4	In addition to our sustainability goals, we are committed to respecting human rights, acting with integrity and prioritising people’s safety.	S	Future Promise	No	Unsubstantiated	claim	genuine_commitment	S	Vague	own commitment, unmeasured
Unilever	7	We require our employees to submit an annual pledge confirming they understand, commit to, and adhere to the COBP.	S	Future Promise	No	Unsubstantiated	claim	genuine_property	G	Vague	pledge is document noun; compliance mechanism
Unilever	7	Employees are required to report any actual or potential breach of the COBP and Code Policies immediately.	S	Vague	No	Vague	claim	genuine_property	G	Vague	breach-reporting requirement, compliance mechanism
Unilever	8	■For water, we incorporated inputs from the World Resources Institute Aqueduct tool, an open-source platform that maps and analyses current and future water risks across various locations.	E	Vague	No	Vague	non_claim	activity_report	E	NA	tool usage as assessment input
Unilever	8	However, 99% of our GHG emissions come from scope 3 emissions within our upstream and downstream value chain.	E	Strong	Yes	Supported	claim	genuine_property	E	Strong	measured fact about own emissions composition
Unilever	8	Carbon pricing Risk (VC) Carbon pricing schemes that capture the external costs of GHG emissions via taxes, emissions trading schemes or other mechanisms could impact the price of raw materials, resulting in increased costs and a potential reduction in profit.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	carbon-pricing scheme risk description
Unilever	8	Product regulations and claims: composition and sourcing transparency Risk (OO) New regulations may restrict how we source raw materials, leading to higher costs.	G	Future Promise	No	Unsubstantiated	non_claim	risk_condition	G	NA	regulatory risk, business-cost outcome
Unilever	8	Increased global regulation also means more scrutiny of sustainability claims, potentially raising costs and harming revenue due to reputational damage.	E	Future Promise	No	Unsubstantiated	non_claim	risk_condition	G	NA	regulatory scrutiny risk, reputational outcome
Unilever	9	Biodiversity and Ecosystems Ecosystem degradation and ecosystem service failures Negative Impact (VC) Unilever relies on agriculture for sourcing raw materials that can have a negative impact on terrestrial and aquatic ecosystems.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	IRO negative-impact statement
Unilever	9	Ecosystem degradation leads to reduction of crop yields in key sourcing locations Risk (VC) Intensive agriculture, deforestation, land conversion and climate change lead to ecosystem degradation and loss of ecosystem services such as soil health, water availability (too much or too little) and pollinating insects.	E	Vague	No	Vague	non_claim	risk_condition	E	NA	world-condition risk description
