n	Page	Sentence	verdict	category	esg_true	claim_type_true	admitted_by
1	3	■Governance Disclosures – summarises Unilever’s business conduct and Speak Up processes across our operations and value chain.	non_claim	navigation	G	NA	verb:process/conduct
2	3	Our global supply chain works with over 46,000 Tier 1 suppliers (those who invoice Unilever directly for goods and services) across more than 140 countries.	non_claim	other_nonclaim	S	NA	topic:invoice + unit
3	3	Where metrics could not be directly measured, estimates have been prepared using internal and external data sources, including indirect sources such as supplier invoices, publicly available benchmarks or scientific research.	non_claim	methodology_definition	E	NA	topic:invoice
4	3	Updates are provided by the global Sustainability function five times a year.	non_claim	governance_role	G	NA	verb:provid
5	4	We produce and sell consumer goods across our four Business Groups: Beauty & Wellbeing, Personal Care, Home Care and Foods.1 We operate across more than 190 manufacturing sites worldwide and employ over 96,000 employees.2 For over two decades, we have driven an ambitious sustainability agenda.	claim	genuine_property	E	Vague	unit
6	5	In 2025, engagement processes and outcomes for each stakeholder group were reviewed at Board meetings.	non_claim	activity_report	G	NA	verb:process
7	5	This approach ensured inclusion of perspectives from all key stakeholder groups, including affected communities.	non_claim	methodology_definition	G	NA	verb:ensur
8	5	The assessment also took into account our Principal Risks, set out on page 31, to support prioritisation of the risks and opportunities.	non_claim	methodology_definition	G	NA	topic:sme + verb:support
9	7	The COBP and Code Policies were refreshed in 2025 to make them easier for employees to engage with; these changes were implemented in early 2026.	non_claim	activity_report	G	NA	verb:implement
10	7	Day-to-day responsibility for implementing the COBP and Code Policies is delegated to senior management across our Business Groups and functions at global, regional and country levels.	non_claim	governance_role	G	NA	topic:cobp + verb:implement
11	7	We have set out the available reporting channels within our Code Policies and highlight these during Business Integrity training and in our communications.	claim	genuine_property	G	Vague	verb:train
12	10	We began a comprehensive review of our Sustainability and Human Rights policy framework in 2025, with any required policy revisions planned for implementation in 2026.	non_claim	activity_report	G	NA	verb:implement
13	10	It sets out the mandatory requirements suppliers must meet and the mandatory management systems we expect them to have in place to identify and manage significant environmental risks.	non_claim	policy_content	E	NA	verb:in place
14	10	This includes complying with water-related laws and permits.	non_claim	policy_content	E	NA	verb:compl
15	10	This includes ensuring suppliers provide deforestation- and conversion-free materials.	non_claim	policy_content	E	NA	verb:ensur/provid
16	10	Unilever’s People & Nature Policy is a cross-commodity policy supported by guidelines that set out our requirements to Direct Suppliers of In-Scope Materials.	non_claim	policy_content	E	NA	verb:support
17	10	They are made up of six core principles, which set out that the benchmarked standards should: ■Promote agricultural and business practices that ensure integrity and accountability in a way that is transparent and traceable.	non_claim	policy_content	E	NA	verb:ensur
18	10	■Cover the respect and advancement of required human rights principles and ensure that these are implemented in line with the UN Guiding Principles on Business and Human Rights.	non_claim	policy_content	S	NA	verb:implement/ensur
